id,label
0,4
1,6
2,2
3,0
4,2
5,6
6,5
7,5
8,6
9,3
10,8
11,6
12,5
13,4
14,7
15,4
16,8
17,3
18,6
19,3
20,0
21,5
22,4
23,5
24,3
25,7
26,4
27,0
28,6
29,6
30,4
31,7
32,3
33,4
34,0
35,6
36,5
37,6
38,0
39,8
40,2
41,4
42,3
43,3
44,1
45,3
46,6
47,4
48,4
49,3
50,6
51,4
52,3
53,1
54,8
55,3
56,6
57,9
58,9
59,4
60,8
61,7
62,4
63,2
64,6
65,6
66,3
67,0
68,4
69,6
70,9
71,6
72,7
73,5
74,9
75,6
76,0
77,6
78,3
79,6
80,9
81,1
82,5
83,7
84,6
85,9
86,2
87,4
88,5
89,0
90,1
91,5
92,4
93,5
94,3
95,9
96,0
97,5
98,0
99,8
100,6
101,7
102,5
103,0
104,4
105,1
106,8
107,4
108,5
109,1
110,1
111,5
112,8
113,5
114,8
115,9
116,2
117,6
118,9
119,4
120,9
121,0
122,3
123,9
124,5
125,4
126,3
127,8
128,5
129,3
130,4
131,7
132,8
133,5
134,1
135,0
136,8
137,2
138,1
139,7
140,8
141,6
142,6
143,4
144,2
145,8
146,4
147,1
148,4
149,1
150,0
151,9
152,6
153,5
154,4
155,6
156,6
157,4
158,6
159,7
160,6
161,8
162,7
163,5
164,2
165,3
166,7
167,2
168,2
169,6
170,3
171,0
172,3
173,4
174,6
175,9
176,0
177,9
178,4
179,5
180,8
181,5
182,4
183,6
184,6
185,5
186,4
187,5
188,8
189,2
190,4
191,4
192,9
193,3
194,8
195,4
196,9
197,5
198,8
199,3
200,8
201,2
202,8
203,8
204,7
205,5
206,6
207,7
208,1
209,0
210,4
211,6
212,3
213,4
214,0
215,1
216,3
217,5
218,4
219,7
220,4
221,3
222,2
223,4
224,9
225,6
226,2
227,9
228,1
229,0
230,6
231,8
232,7
233,1
234,6
235,0
236,6
237,9
238,9
239,5
240,5
241,6
242,0
243,8
244,7
245,1
246,0
247,4
248,5
249,4
250,5
251,1
252,3
253,2
254,0
255,3
256,8
257,0
