id,label
0,8
1,6
2,3
3,6
4,8
5,6
6,4
7,1
8,6
9,4
10,8
11,0
12,7
13,9
14,4
15,7
16,0
17,8
18,5
19,4
20,0
21,6
22,2
23,7
24,2
25,8
26,3
27,3
28,8
29,0
30,1
31,5
32,2
33,9
34,8
35,3
36,1
37,8
38,9
39,2
40,0
41,8
42,5
43,1
44,8
45,1
46,2
47,4
48,3
49,9
50,4
51,1
52,8
53,7
54,2
55,6
56,0
57,5
58,5
59,8
60,7
61,3
62,2
63,4
64,9
65,4
66,1
67,8
68,0
69,4
70,3
71,0
72,7
73,4
74,7
75,0
76,2
77,2
78,2
79,3
80,9
81,1
82,0
83,4
84,0
85,6
86,7
87,4
88,8
89,3
90,5
91,9
92,8
93,2
94,3
95,9
96,7
97,5
98,8
99,2
100,0
101,1
102,2
103,0
104,8
105,7
106,0
107,0
108,4
109,2
110,9
111,3
112,6
113,7
114,3
115,1
116,2
117,0
118,7
119,4
120,1
121,6
122,5
123,9
124,9
125,5
126,9
127,1
128,4
129,7
130,8
131,9
132,8
133,7
134,3
135,8
136,9
137,5
138,9
139,2
140,8
141,3
142,2
143,3
144,5
145,7
146,4
147,0
148,0
149,8
150,2
151,1
152,2
153,2
154,4
155,7
156,2
157,2
158,4
159,1
160,0
161,8
162,2
163,5
164,4
165,1
166,4
167,8
168,6
169,0
170,0
171,8
172,3
173,6
174,9
175,0
176,4
177,0
178,2
179,2
180,3
181,7
182,7
183,5
184,4
185,2
186,7
187,5
188,8
189,1
190,4
191,0
192,9
193,5
194,3
195,0
196,4
197,3
198,4
199,8
200,3
201,1
202,1
203,8
204,9
205,2
206,7
207,9
208,6
209,4
210,6
211,2
212,2
213,5
214,7
215,9
216,7
217,5
218,0
219,7
220,7
221,5
222,8
223,4
224,8
225,4
226,1
227,5
228,4
229,0
230,9
231,0
232,2
233,7
234,6
235,0
236,6
237,6
238,1
239,7
240,0
241,8
242,8
243,9
244,5
245,5
246,7
247,0
248,4
249,2
250,8
251,6
252,5
253,5
254,9
255,6
256,8
257,9
258,1
259,5
260,7
261,9
262,4
263,9
264,4
265,9
266,6
267,1
268,5
269,1
270,3
271,7
272,0
273,4
274,1
275,8
276,0
277,1
278,2
279,0
280,5
281,8
282,0
283,3
284,9
285,7
286,2
287,3
288,0
289,5
290,3
291,5
292,0
293,6
294,7
295,3
296,3
297,2
298,3
299,7
300,9
301,0
302,8
303,6
304,4
305,9
306,3
307,7
308,2
309,0
310,3
311,0
312,0
313,0
314,9
315,4
316,2
317,1
318,6
319,3
320,9
321,3
322,1
323,8
324,7
325,0
326,7
327,5
328,0
329,8
330,6
331,9
332,7
333,8
334,6
335,4
336,3
337,7
338,1
339,1
340,4
341,1
342,8
343,0
344,8
345,8
346,5
347,8
348,7
349,7
350,3
351,4
352,4
353,2
354,2
355,2
356,9
357,9
358,2
359,5
360,8
361,3
362,6
363,4
364,8
365,7
366,6
367,5
368,7
369,8
370,3
371,0
372,2
373,0
374,3
375,8
376,0
377,4
378,2
379,8
380,3
381,8
382,2
383,2
384,5
385,2
386,1
387,6
388,2
389,2
390,8
391,0
392,7
393,5
394,5
395,3
396,6
397,5
398,3
399,0
400,8
401,1
402,0
403,8
404,4
405,8
406,1
407,9
408,4
409,8
410,8
411,3
412,4
413,5
414,4
415,4
416,7
417,7
418,8
419,6
420,0
421,4
422,4
423,8
424,8
425,2
426,0
427,0
428,0
429,2
430,1
431,5
432,8
433,1
434,9
435,6
436,0
437,2
438,3
439,8
440,7
441,4
442,8
443,5
444,6
445,8
446,1
447,7
448,7
449,4
450,1
451,6
452,7
453,0
454,8
455,8
456,8
457,8
458,0
459,1
460,0
461,4
462,0
463,4
464,2
465,1
466,0
467,2
468,0
469,7
470,5
471,0
472,4
473,0
474,3
475,2
476,5
477,0
478,3
479,2
480,8
481,0
482,0
483,3
484,3
485,0
486,9
487,8
488,8
489,7
490,0
491,5
492,6
493,3
494,0
495,1
496,4
497,2
498,0
499,3
500,9
501,0
502,4
503,2
504,3
505,0
506,2
507,7
508,3
509,2
510,1
511,3
512,5
513,2
